currentPrice,dirtyTicketInd,listingId,listingPrice,quantity,retrieveTime,row,score,seatNumbers,sectionId,sectionName,sellerSectionName,zoneId,zoneName,Event,Date
85.3,FALSE,1314469652,69,1,3/18/18 0:58,14,0,9,30196,Mezzanine Goal 219,UPPER:219,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
85.3,FALSE,1314543125,69,2,3/18/18 0:58,10,0,13;14,30175,Mezzanine Center 214,UPPER:214,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
85.3,FALSE,1314648694,69,2,3/18/18 0:58,10,0,14;15,30186,Mezzanine Goal 208,UPPER:208,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
85.3,FALSE,1313720965,69,3,3/18/18 0:58,9,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
85.3,FALSE,1311502570,69,4,3/18/18 0:58,10,0,NA,30181,Mezzanine Goal 205,UPPER:205,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
85.3,FALSE,1314582821,69,2,3/18/18 0:58,1,0,16;17,30197,Mezzanine Goal 219A,UPPER:219A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
85.3,FALSE,1314582992,69,3,3/18/18 0:58,13,0,NA,30182,Mezzanine Goal 205A,UPPER:205A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
85.3,FALSE,1314329080,69,4,3/18/18 0:58,14,0,NA,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
85.3,FALSE,1314246304,69,3,3/18/18 0:58,14,0,NA,30177,Mezzanine Center 223,UPPER:223,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
85.3,FALSE,1312956165,69,4,3/18/18 0:58,13,0,NA,30177,Mezzanine Center 223,UPPER:223,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
85.9,FALSE,1312045908,69.5,2,3/18/18 0:58,11,0,1;2,30181,Mezzanine Goal 205,UPPER:205,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
86.5,FALSE,1278025184,70,2,3/18/18 0:58,12,0,13;14,30200,Mezzanine Goal 221A,UPPER:221A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
86.5,FALSE,1313455712,70,2,3/18/18 0:58,8,0,16;17,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
86.5,FALSE,1310689917,70,2,3/18/18 0:58,6,0,1;2,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
86.5,FALSE,1278938770,70,2,3/18/18 0:58,11,0,14;15,30199,Mezzanine Goal 221,UPPER:221,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
86.5,FALSE,1314348978,70,2,3/18/18 0:58,11,0,11;12,30190,Mezzanine Goal 210A,UPPER:210A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
86.5,FALSE,1311256633,70,6,3/18/18 0:58,13,0,NA,30176,Mezzanine Center 215,UPPER:215,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
86.5,FALSE,1314006955,70,8,3/18/18 0:58,11,0,NA,30180,Mezzanine Goal 204A,UPPER:204A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
87.7,FALSE,1314037505,71,2,3/18/18 0:58,7,0,NA,30196,Mezzanine Goal 219,UPPER:219,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
87.7,FALSE,1277940673,71,2,3/18/18 0:58,2,0,21;22,30172,Mezzanine Center 211,UPPER:211,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
88.07,FALSE,1293582358,71.31,2,3/18/18 0:58,9,0,11;12,30170,Mezzanine Center 202,UPPER:202,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
88.9,FALSE,1314441210,72,2,3/18/18 0:58,10,0,17;18,30173,Mezzanine Center 212,UPPER:212,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
